"date","day","flow_cms","temp_c"
"10/03/1982",1,400,17.8816117228416
"10/04/1982",2,397.170174313093,17.8449246649468
"10/05/1982",3,430.444754268452,17.8034742931151
"10/06/1982",4,437.038387514289,17.5974177152554
"10/07/1982",5,439.841496170878,18.2955394489562
"10/08/1982",6,413.77553250572,17.9019248122747
"10/09/1982",7,365.64326714107,18.271129414699
"10/10/1982",8,346.660770910304,18.3717018878309
"10/11/1982",9,356.979733841174,18.146781956687
"10/12/1982",10,341.362755629533,18.2759325947629
"10/13/1982",11,327.304181055919,18.3132958284435
"10/14/1982",12,325.352012356667,18.4433821153054
"10/15/1982",13,336.445123130944,18.3591848833276
"10/16/1982",14,347.687263632555,18.4650698319708
"10/17/1982",15,367.513329479884,17.9525336174637
"10/18/1982",16,375.807212733974,18.0155334209671
"10/19/1982",17,363.280260681226,18.3598580736967
"10/20/1982",18,329.006977489857,18.5284221943803
"10/21/1982",19,345.807706214673,17.8725824174084
"10/22/1982",20,362.867371608848,18.2964342736491
"10/23/1982",21,328.538290078896,18.4172887303171
"10/24/1982",22,333.093465977902,18.348034483409
"10/25/1982",23,378.057534456087,17.9961640510251
"10/26/1982",24,348.621781438047,18.2848741465812
"10/27/1982",25,361.538875997418,18.1954160513667
"10/28/1982",26,387.00548629072,17.8341709275079
"10/29/1982",27,383.441662183082,17.7609887828189
"10/30/1982",28,413.347776124195,17.6632213582881
"10/31/1982",29,411.32523716156,18.0281707370648
"11/01/1982",30,419.485069170677,17.9031655022285
"11/02/1982",31,434.812413422102,17.7011125107371
"11/03/1982",32,435.390194981968,17.5774886940374
"11/04/1982",33,421.553761558911,17.9784763612907
"11/05/1982",34,398.17745787617,17.9592863321156
"11/06/1982",35,397.747730490144,18.2662854641565
"11/07/1982",36,393.820890370594,18.3734303792207
"11/08/1982",37,384.496349420556,17.6604090381275
"11/09/1982",38,425.232445872339,18.1396628963064
"11/10/1982",39,426.213713676378,17.6096367762661
"11/11/1982",40,411.985703297429,17.7190998998959
"11/12/1982",41,413.740815522235,17.8702881328448
"11/13/1982",42,427.60025037521,17.7507293267008
"11/14/1982",43,396.07532535439,17.8818032953378
"11/15/1982",44,393.626187166419,18.0207821805424
"11/16/1982",45,428.487571705315,18.0581752127073
"11/17/1982",46,424.88971439741,17.5903005440092
"11/18/1982",47,443.577087941228,17.4353478589013
"11/19/1982",48,448.686825564002,17.6380125644158
"11/20/1982",49,442.469201016041,17.8213894369523
"11/21/1982",50,436.121480378333,17.1296610657948
"11/22/1982",51,451.617035327258,17.7001346755182
"11/23/1982",52,455.202597408926,17.6407046536574
"11/24/1982",53,477.806871207975,17.3928388960815
"11/25/1982",54,496.748560358809,17.7402057700341
"11/26/1982",55,498.919143371415,17.5745828002598
"11/27/1982",56,510.829401879591,17.2920904341189
"11/28/1982",57,511.944806474913,17.3885608167797
"11/29/1982",58,489.309755563997,17.6379775216352
"11/30/1982",59,462.794174898097,18.1025204100314
"12/01/1982",60,479.222645294392,17.8409894283726
"12/02/1982",61,443.911796833388,17.7497320769872
"12/03/1982",62,437.162213821619,17.682379321873
"12/04/1982",63,444.940271431633,17.753884974101
"12/05/1982",64,437.304118875482,17.9410785298132
"12/06/1982",65,437.577997187939,17.9209662648847
"12/07/1982",66,421.643987007418,18.118787668929
"12/08/1982",67,440.278706705993,17.6176168734728
"12/09/1982",68,457.818105945492,17.7687523798419
"12/10/1982",69,431.335562737988,17.9468246433837
"12/11/1982",70,411.109314400291,17.7163579584324
"12/12/1982",71,433.14961044461,17.9016226965929
"12/13/1982",72,474.262567187265,17.5063601787843
"12/14/1982",73,436.715856462692,18.1935140631587
